Compound_ID,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16
Com_8222_pos,5929317.335,3513682.52,3722126.541,3836249.973,6116006.493,12649673.77,26319669.48,3426246.954,5439663.519,7098017.077,35102211.99,16898461.1,4140349.13,4821778.119,10204032.7,39753069.77,3358201.35,4299467.803,6290259.591,6331347.431,4529292.89,6447672.571,5405047.432,6460607.123,7454503.673,3374109.466,3035407.113,21332326.35,1903568.208,1886694.833,5059062.43,2085059.844
Com_8233_pos,18397245.11,16404520.26,13095743.75,16319955.52,24667090.51,17165354.79,11367380.13,14993183.94,8049670.856,7225148.25,17149458,18060875.58,16530613.66,19654239.34,7515092.36,16038519.26,12520801.61,9396869.931,14286645.83,10723772.96,11999582.23,14011618.44,19408169.51,11448826.57,14540694.06,83528518.54,12562772.49,6400488.93,13931342.56,107290547.1,28696643.84,7960729.094
Com_8237_pos,14496436.64,16833758.08,19285793.48,8643890.718,7241318.396,11512325.85,16402714.79,13252587,7733039.999,4146788.603,38924366.35,14459158.19,14760544.72,7647805.598,3062479.603,16601760.55,5524394.175,8312454.854,24087078.33,16820288.55,12504326.92,9391268.396,8981209.477,22235478.73,2979235.036,5746035.078,5491471.114,4324597.48,5199611.627,1498510.898,12309886.33,4935108.193
Com_8243_pos,2485947.016,2407208.146,9555446.149,2534002.214,3870767.667,4765355.123,4719529.353,2021553.654,7069252.472,3935143.266,2583208.468,2146844.613,2200379.076,3086276.838,2774755.899,8623696.978,10487344.75,9210901.857,67786164.42,5116082.002,29364081.71,28083661.25,18748272.36,6815894.864,15770095.73,119086135.1,26862314.07,1374256.375,18009500.11,1854487.791,21341091.35,20805820.11
Com_8246_pos,2766286.436,4630476.961,2591154.737,3572964.909,1897515.786,3233072.863,11116524.43,3602592.721,45388205,26261386.37,12121371.94,3715034.589,2951613.786,2063851.006,23585597.33,6763188.451,2781485.253,2993902.403,2381942.42,3637044.727,3102006.463,3717408.83,462931.6009,2489296.606,3241522.01,3069871.958,1804395.545,3542228.929,1801288.256,1558480.77,2064847.258,1495033.633
Com_8270_pos,9790378.242,13450772.26,12184827.3,11253984.22,12247450.72,12978196.1,32323511.74,25162530.49,27062803.75,27022435.71,28639663.03,16077588.43,18648003.9,11581961.51,25265166.91,23974200.67,9571178.826,9553467.904,9893012.346,8705012.673,12910366.78,6874131.464,6278554.77,10693023.51,7694380.043,5061524.392,7437964.415,9539722.288,6138729.833,9511693.603,6765403.331,5112087.316
Com_8284_pos,27202986.78,23635911.79,23576149.07,18466199.63,12803183.79,27562645.86,105977168.3,35995351.02,15348998.79,33749662.74,13776645.06,31554660.8,17879967.41,20134315.01,9148825.794,29155273.72,33162073.08,145649098.2,36941647.04,20279635.3,43415649.27,51934378.8,36820713.88,81754937.86,18513096.39,14785529.98,16319918.14,44334661.31,16521514.66,31611537.06,20631413.22,3316818.595
Com_8313_pos,9850835.387,7835762.213,6826739.982,7516645.813,5672788.406,18980955.57,26458254.47,11895999.16,12716476.56,12900767.69,23518933.93,11414349.73,6575273.319,6418212.843,15687945.74,45836732.63,11889812.77,15625311.46,15398090.73,11336929.2,136117743.4,24928864.26,16152318.01,13949155.11,9405849.904,6936012.099,5678855.775,6834754.161,4433780.891,19536651.08,6303155.061,23044812.23
Com_8372_pos,17169208.29,19244982.7,19013467.96,14219110.82,20871033.87,13721995.64,23552250.92,21329911.35,11986483.64,12230701.18,21695748.99,17177301.91,15703399.12,17067671.85,10181211.18,16606470.13,116002761.6,38631681.22,32393556.55,13895302.23,61799037.33,24497359.83,17913320.3,26383799.17,46258092.93,10596026.42,12207941.92,6119122.643,5974929.133,19659051.8,5626562.636,3812560.273
Com_8391_pos,621569.0386,959613.8888,1394670.7,752955.4402,491325.4129,674273.6882,703994.5069,592041.6765,2043100.695,1063547.67,702452.5177,1735549.938,373418.7633,384870.7376,655827.7677,3904062.575,1144090.953,1231601.893,1465427.959,1254274.357,1413876.402,1331593.188,777415.8432,1399504.689,1296884.296,1753291.641,1237107.618,1374239.237,725231.7879,104289359.4,660980.8576,728891.5466
Com_8395_pos,307208.7436,493473.1254,909690.461,167213.9001,201627.3941,347342.2112,1523508.918,487178.4274,671119.6819,614882.9674,355714.1641,211767.1848,532686.0733,238264.5777,322056.5644,410929.8047,677711.1763,763718.1833,3571771.317,868679.5393,772372.6488,2048929.07,321208.6468,631001.1498,1136264.822,115941701.1,748149.2165,393552.2181,74642143.1,1256865.75,732135.018,285405.6809
